GEOID,eviction_2020, eviction_2021,eviction_2022,eviction_2023,own_occ_rate,corp_own_rate,median_yearbuilt,median_price,median_prslpr,mortgage,median_totrooms,median_bathrooms,median_bedrooms,median_lotsize,median_intersf,median_flip_horizon,median_price_diff,median_price_diff_pch,median_lasqbin,mean_month_horizon,buyer_llc_ind_sum,buyer_bus_ind_sum,buyer_trst_ind_sum,buyer_bnk_ind_sum,buyer_gse_ind_sum,buyer_gov_ind_sum,seller_llc_ind_sum,seller_llp_ind_sum,seller_bus_ind_sum,seller_trst_ind_sum,seller_bnk_ind_sum,seller_gse_ind_sum,seller_gov_ind_sum,flip_ind_sum,buy_side_flip_sum,sell_side_flip_sum,restype_R1F_sum,sum_institutional_investor,sum_large_investor,sum_medium_investor,sum_non_investor,sum_small_investor,sum_non_small_llc_investor,sum_small_llc_investor,count_1.FAM.RES,count_2.FAM.RES,count_3.FAM.RES,count_CONDOMINIUM,count_RES.DEV.LAND,percent_owners,num_sales_transactions,years,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fam,hh,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,acs_year,mhi,mhi_me,o_mhi,o_mhi_me,r_mhi,r_mhi_me
25017350103,5.0,27.0,54.0,40.0,0.0,0.0,1926.5,385250.0,0.0,278000.0,7.0,2,3.0,4050.0,2401.0,986.5,35000.0,7.78,2450.5,12.0,12,4,2,2,0,0,7,0,2,10,1,0,0,11,12,11,8,3.0,2.0,3.0,111.0,11.0,117.0,13.0,8.0,61.0,2.0,42.0,0.0,48.5,130,2010.0,1210.0,599.0,611.0,180.0,855.0,175.0,905.0,85.0,0.0,63.0,0.0,27.0,19.0,111.0,269.0,497.0,269.0,121.0,61.0,52.0,20.0,10.0,5.0,228.0,132.0,68.0,18.0,6.0,3.0,0.0,1.0,2007-11,66289.0,14867.0,67946.0,24272.0,62500.0,17116.0
25017351500,6.0,7.0,16.0,15.0,0.0,0.0,1920.0,316000.0,0.0,214400.0,3.0,1,1.0,0.0,1055.0,1183.0,15367.0,8.01,1050.5,11.0,22,6,20,3,1,0,14,0,13,20,5,0,0,19,20,19,18,9.0,12.0,8.0,357.0,13.0,373.0,26.0,18.0,25.0,26.0,272.0,0.0,39.3,399,2010.0,2310.0,1156.0,1154.0,299.0,1694.0,317.0,1262.0,198.0,5.0,265.0,0.0,72.0,96.0,412.0,435.0,1104.0,435.0,197.0,107.0,84.0,27.0,10.0,10.0,669.0,472.0,129.0,39.0,17.0,9.0,3.0,0.0,2007-11,46088.0,8581.0,73625.0,36340.0,36193.0,12570.0
25017373100,1.0,6.0,4.0,5.0,0.0,0.0,1910.0,453750.0,142625.0,315600.0,7.0,2,3.0,7599.0,1700.0,997.5,55850.0,14.41,1700.5,12.0,15,8,14,1,1,0,12,0,8,67,1,0,3,70,73,70,214,16.0,10.0,19.0,627.0,34.0,690.0,16.0,214.0,145.0,19.0,298.0,3.0,40.4,706,2010.0,4755.0,2194.0,2561.0,845.0,3255.0,655.0,3793.0,139.0,8.0,500.0,1.0,29.0,108.0,177.0,1066.0,2085.0,1066.0,471.0,262.0,218.0,80.0,18.0,17.0,1019.0,719.0,213.0,57.0,22.0,3.0,4.0,1.0,2007-11,77575.0,20060.0,103478.0,37193.0,63813.0,11158.0
25017373600,2.0,0.0,4.0,0.0,0.0,0.0,1945.0,537500.0,165000.0,258800.0,6.0,2,3.0,41502.0,1407.5,1268.5,54250.0,12.53,1450.5,10.0,15,8,49,0,0,0,32,0,13,124,1,0,0,50,53,50,295,17.0,6.0,14.0,659.0,24.0,705.0,15.0,295.0,19.0,3.0,386.0,4.0,38.2,720,2010.0,6026.0,2892.0,3134.0,648.0,4889.0,489.0,4747.0,146.0,1.0,599.0,1.0,9.0,142.0,381.0,718.0,988.0,718.0,303.0,156.0,156.0,74.0,20.0,9.0,270.0,191.0,40.0,17.0,12.0,4.0,2.0,4.0,2007-11,137460.0,45902.0,213843.0,31448.0,74085.0,44797.0
25021400600,4.0,1.0,3.0,2.0,0.0,1.0,1915.0,480000.0,194500.0,290000.0,5.0,2,2.0,0.0,1260.0,1121.0,60000.0,13.58,1250.5,12.0,34,10,34,1,1,0,84,0,3,82,5,1,0,87,92,87,201,8.0,6.0,27.0,1176.0,36.0,1216.0,37.0,201.0,23.0,13.0,977.0,1.0,36.6,1253,2010.0,5177.0,2381.0,2796.0,961.0,3615.0,601.0,4020.0,109.0,5.0,691.0,0.0,16.0,119.0,217.0,1153.0,2116.0,1153.0,517.0,271.0,255.0,81.0,26.0,3.0,963.0,617.0,207.0,72.0,50.0,15.0,2.0,0.0,2007-11,138506.0,37597.0,162422.0,16057.0,55341.0,27027.0
25021401200,6.0,4.0,4.0,12.0,0.0,0.0,1945.0,690000.0,110000.0,417000.0,8.0,3,3.0,7816.5,2142.5,1102.0,100000.0,17.325,2150.5,11.0,37,6,26,6,0,0,84,0,24,62,11,0,0,68,71,68,578,10.0,7.0,15.0,729.0,33.0,752.0,42.0,578.0,17.0,13.0,157.0,9.0,44.2,794,2010.0,7031.0,3262.0,3769.0,1732.0,4284.0,1015.0,4870.0,297.0,4.0,1331.0,2.0,31.0,168.0,328.0,1759.0,2413.0,1759.0,649.0,415.0,473.0,179.0,36.0,7.0,654.0,521.0,102.0,24.0,3.0,4.0,0.0,0.0,2007-11,131875.0,15448.0,163531.0,27932.0,89798.0,17593.0
25025000100,10.0,25.0,32.0,31.0,0.2974036191974823,0.2297403619197482,1920.0,396921.0,0.0,266000.0,7.0,2,3.0,3450.0,1920.0,1125.0,66410.5,24.215,1950.5,12.0,23,2,11,3,1,0,28,0,13,29,10,1,0,19,20,19,56,13.0,5.0,19.0,332.0,16.0,359.0,26.0,56.0,95.0,39.0,145.0,0.0,54.8,385,2010.0,4254.0,2256.0,1998.0,579.0,3326.0,349.0,2508.0,249.0,3.0,468.0,0.0,250.0,155.0,621.0,698.0,1616.0,698.0,265.0,167.0,142.0,69.0,38.0,17.0,918.0,394.0,267.0,129.0,75.0,36.0,12.0,5.0,2007-11,53699.0,11300.0,82944.0,19412.0,50102.0,25329.0
25025000201,3.0,9.0,10.0,7.0,0.380901287553648,0.1695278969957081,1920.0,371500.0,0.0,296595.0,7.0,2,3.0,3671.0,1795.0,1176.5,39750.0,12.43,1850.5,14.0,5,3,5,5,0,0,3,0,7,32,8,0,1,18,20,18,78,11.0,8.0,14.0,300.0,15.0,338.0,10.0,78.0,102.0,22.0,128.0,0.0,48.0,348,2010.0,3854.0,1904.0,1950.0,439.0,3151.0,264.0,2728.0,244.0,5.0,322.0,2.0,70.0,76.0,407.0,571.0,1541.0,571.0,270.0,133.0,109.0,32.0,12.0,15.0,970.0,375.0,299.0,191.0,73.0,26.0,5.0,1.0,2007-11,64792.0,8084.0,86765.0,38872.0,62480.0,6015.0
25025000202,7.0,2.0,4.0,16.0,0.4768460575719649,0.1714643304130162,1920.0,430000.0,0.0,296900.0,7.0,2,3.5,4250.0,1909.5,1040.0,41298.0,12.515,1950.5,9.0,10,5,10,3,1,0,5,0,6,33,9,1,0,19,19,19,71,12.0,7.0,10.0,236.0,9.0,260.0,14.0,71.0,84.0,11.0,86.0,0.0,47.1,274,2010.0,3885.0,1962.0,1923.0,656.0,2889.0,340.0,2370.0,273.0,12.0,525.0,0.0,50.0,59.0,596.0,711.0,1480.0,711.0,259.0,185.0,149.0,80.0,19.0,19.0,769.0,361.0,205.0,104.0,62.0,27.0,7.0,3.0,2007-11,53542.0,8119.0,63679.0,27654.0,48333.0,15442.0
25025000301,0.0,2.0,6.0,2.0,0.4175050301810865,0.1720321931589537,1950.0,350700.0,0.0,261675.0,5.0,1,3.0,1390.0,1180.0,1093.0,30000.0,11.97,1250.5,13.0,8,3,10,2,1,0,60,0,7,46,3,1,0,21,21,21,53,4.0,5.0,17.0,297.0,23.0,337.0,9.0,53.0,58.0,14.0,206.0,3.0,41.3,346,2010.0,2740.0,1395.0,1345.0,273.0,2136.0,331.0,2050.0,124.0,0.0,295.0,0.0,24.0,57.0,190.0,463.0,1159.0,463.0,226.0,117.0,81.0,27.0,9.0,3.0,696.0,333.0,200.0,109.0,43.0,9.0,1.0,1.0,2007-11,89236.0,7378.0,88056.0,14554.0,93194.0,12816.0
