GEOID,eviction_rate,mhi,family_bins,elder_bins,majority_race,corp_bins,total_eviction,winter_eviction,total_minus_winter
25025000701,0.021701388888888888,72382,non-family,no elders,White,medium,50,20,30
25025000703,0.02129277566539924,44674,non-family,no elders,White,high,28,17,11
25025000704,0.03100189035916824,66315,non-family,no elders,White,high,82,30,52
25025010103,0.00546448087431694,34804,non-family,no elders,White,high,2,1,1
25025010104,0.00967906265919511,59063,non-family,some elders,White,high,19,8,11
25025010204,0.017167381974248927,47750,non-family,no elders,White,high,20,4,16
25025010300,0.025236593059936908,56953,non-family,no elders,White,low,8,0,8
25025010403,0.026483570377636097,35853,non-family,some elders,White,high,54,14,40
25025010404,0.008982035928143712,24821,non-family,no elders,White,high,15,3,12
25025010405,0.039473684210526314,18125,non-family,some elders,White,high,36,15,21
25025010408,0.018826135105204873,67832,non-family,no elders,White,high,17,3,14
25025010500,0.011487303506650543,49772,non-family,some elders,White,high,19,6,13
25025050101,0.04434337691870381,67632,mixed,some elders,Latino,medium,78,26,52
25025050200,0.03351351351351351,71402,mixed,some elders,Latino,high,62,29,33
25025050300,0.07235294117647059,54811,non-family,some elders,White,high,123,35,88
25025050600,0.030012004801920768,69167,mixed,no elders,Latino,high,25,8,17
25025050700,0.032552083333333336,65667,mixed,no elders,Latino,medium,50,13,37
25025051000,0.06289308176100629,65875,mixed,some elders,Latino,medium,110,42,68
25025051101,0.02075971731448763,61102,family,some elders,Latino,medium,47,17,30
25025061000,0.007722007722007722,72985,mixed,some elders,White,low,8,3,5
25025061101,0.02059308072487644,12300,mixed,some elders,Latino,medium,25,9,16
25025070402,0.06520657043305127,64750,non-family,some elders,White,high,131,49,82
25025080100,0.102803738317757,42563,mixed,some elders,Black,high,77,34,43
25025080300,0.1092436974789916,41211,family,some elders,Black,medium,91,29,62
25025080401,0.09195402298850575,22212,mixed,some elders,Latino,high,128,50,78
25025080500,0.04644412191582003,39625,mixed,some elders,Latino,high,64,30,34
25025080601,0.09154228855721393,14590,non-family,no elders,White,high,92,49,43
25025080801,0.04222648752399232,28295,mixed,some elders,Latino,medium,44,16,28
25025080900,0.01824212271973466,72208,non-family,some elders,White,high,33,12,21
25025081001,0.03545816733067729,37453,non-family,some elders,Other,high,89,37,52
25025081200,0.02635658914728682,25580,family,some elders,Latino,medium,34,9,25
25025081400,0.057766367137355584,59464,mixed,some elders,Black,medium,90,31,59
25025081500,0.05235602094240838,63144,mixed,some elders,Black,low,50,14,36
25025081700,0.08726114649681528,30349,mixed,some elders,Black,low,137,53,84
25025081800,0.06086956521739131,33646,mixed,some elders,Black,medium,84,28,56
25025081900,0.09633357296908698,60183,family,some elders,Black,high,134,58,76
25025082000,0.0742218675179569,69041,mixed,some elders,Black,medium,93,38,55
25025082100,0.1611969111969112,26547,mixed,some elders,Black,high,334,116,218
25025090100,0.0936986301369863,33652,family,some elders,Black,medium,171,79,92
25025090200,0.10110974106041924,39773,family,some elders,Latino,high,82,36,46
25025090300,0.11712439418416801,33824,family,some elders,Black,medium,145,39,106
25025090400,0.05341246290801187,54670,family,some elders,Black,low,72,29,43
25025090600,0.046632124352331605,45526,family,some elders,Other,low,36,10,26
25025091200,0.03488372093023256,71125,mixed,some elders,White,medium,42,8,34
25025091300,0.06242905788876277,35078,family,some elders,Other,medium,55,16,39
25025091400,0.07028112449799197,45990,family,some elders,Black,medium,70,24,46
25025091500,0.03799019607843137,56203,family,some elders,Other,low,62,19,43
25025091600,0.04647160068846816,71111,mixed,some elders,Other,medium,54,20,34
25025091700,0.06424870466321243,56772,family,some elders,Black,low,62,25,37
25025091800,0.05185185185185185,39674,family,some elders,Black,low,63,24,39
25025091900,0.09623733719247468,56750,family,some elders,Black,low,133,41,92
25025092000,0.07107231920199501,61786,family,some elders,Black,low,114,32,82
25025092101,0.046549612086565946,53102,family,some elders,Other,medium,114,39,75
25025092300,0.0728110599078341,71667,family,some elders,Black,low,79,23,56
25025092400,0.09810587663914522,39850,family,some elders,Black,medium,202,77,125
25025100100,0.06871035940803383,36471,family,some elders,Black,low,130,36,94
25025100200,0.08091286307053942,58958,family,some elders,Black,low,78,26,52
25025100300,0.06058158319870759,65417,family,some elders,Black,low,75,27,48
25025100500,0.05691399662731872,49644,family,some elders,Black,medium,135,51,84
25025101002,0.0894713059195662,50671,family,some elders,Black,low,198,67,131
25025101101,0.062449310624493104,59226,family,some elders,Black,low,77,30,47
25025101102,0.10233160621761658,48393,family,some elders,Black,low,158,63,95
25025110201,0.10012360939431397,67895,family,some elders,Latino,low,81,28,53
25025130406,0.07714641227706345,44115,mixed,some elders,Black,low,186,135,51
25025140106,0.15509761388286333,33235,mixed,some elders,Black,low,143,49,94
25025140400,0.049099258212645706,67260,family,some elders,Black,low,139,53,86
